1000,0.0016986,0.0010143,0.0010217,0.0010315,0.0010248,0.0010229,0.0010181,0.0010261,0.001057,0.0010252,0.00109402
2000,0.0038037,0.0024946,0.0022439,0.0024295,0.00224,0.0022531,0.0022426,0.0022493,0.0024293,0.0023666,0.00247526
3000,0.0069161,0.0043446,0.0036363,0.0035471,0.0039466,0.003577,0.0037712,0.0035702,0.0035671,0.0035868,0.0040463
4000,0.0090289,0.0049267,0.0049083,0.0049386,0.0053675,0.0049998,0.005254,0.0051153,0.0049399,0.0052786,0.00547576
5000,0.0080799,0.0071515,0.0063085,0.0065686,0.0064603,0.0063647,0.0064085,0.0063147,0.0067656,0.0077754,0.00681977
6000,0.0084427,0.0077496,0.0081444,0.0078295,0.0079104,0.0081905,0.0078156,0.0080126,0.0077461,0.0080898,0.00799312
7000,0.0207751,0.0100964,0.0100541,0.0092167,0.0094537,0.0093495,0.0092999,0.0091979,0.0092056,0.0096342,0.0106283
8000,0.0183928,0.0110372,0.0109993,0.010783,0.0108747,0.0106779,0.0106676,0.0107631,0.0108315,0.0112232,0.011625
9000,0.0135518,0.01253,0.01225,0.0123081,0.0122034,0.0122421,0.0124634,0.0124866,0.0122924,0.012639,0.0124967
10000,0.0154728,0.0139456,0.0139903,0.0146886,0.0137967,0.0138064,0.0139908,0.0140106,0.0138316,0.0139343,0.0141468
11000,0.0196986,0.0157134,0.0155787,0.0193659,0.016449,0.0159895,0.0156563,0.0153958,0.0156157,0.0165617,0.0166025
12000,0.0241421,0.0171917,0.0170056,0.0183538,0.0209746,0.0187819,0.0169905,0.017291,0.0169617,0.0171783,0.0184871
13000,0.0278555,0.0189318,0.0186053,0.018789,0.0187393,0.0188107,0.0187744,0.0194815,0.0185358,0.018653,0.0197176
14000,0.0243912,0.0200219,0.0204831,0.0207673,0.0206654,0.0205655,0.0211552,0.0207127,0.0220256,0.0200367,0.0210825
15000,0.0290996,0.0217301,0.0230058,0.0222511,0.021805,0.0219113,0.0227943,0.0219402,0.0220253,0.0220658,0.0228629
16000,0.0290782,0.0250594,0.0231794,0.0236451,0.0233863,0.0232271,0.0236155,0.023409,0.0235698,0.0255395,0.0243709
17000,0.0369065,0.0256973,0.0268782,0.0251731,0.0247971,0.0251227,0.025159,0.025168,0.0254229,0.024897,0.0265222
18000,0.0456635,0.0273023,0.027312,0.0274254,0.0265476,0.0267449,0.0265695,0.0265857,0.0265845,0.0266546,0.028739
19000,0.0335922,0.0295299,0.028161,0.029595,0.030022,0.0288612,0.0283439,0.028335,0.0285698,0.0283219,0.0293332
